time,open,high,low,close,vwap,volume,count
2024-04-21 03:00:00,3182.50,3197.14,3167.47,3170.27,3183.83,337.42363227,431
2024-04-21 04:00:00,3168.95,3181.30,3158.00,3176.83,3169.18,75.36091902,268
2024-04-21 05:00:00,3176.87,3191.19,3172.05,3177.65,3182.00,78.15752353,291
2024-04-21 06:00:00,3176.91,3191.67,3173.78,3178.74,3185.70,402.49599492,331
2024-04-21 07:00:00,3178.75,3182.70,3165.93,3180.47,3174.77,209.89704848,244
2024-04-21 08:00:00,3180.49,3186.50,3171.42,3171.43,3178.93,52.63852919,225
2024-04-21 09:00:00,3171.43,3175.10,3165.93,3167.84,3169.85,360.51498301,213
2024-04-21 10:00:00,3170.48,3171.42,3152.25,3168.33,3157.07,588.56981517,287
2024-04-21 11:00:00,3168.34,3183.07,3160.22,3169.10,3172.37,171.78663900,257
2024-04-21 12:00:00,3169.11,3174.70,3156.12,3158.81,3163.91,196.98444655,230
2024-04-21 13:00:00,3158.81,3168.00,3142.12,3147.66,3153.82,732.09290001,406
2024-04-21 14:00:00,3147.17,3157.10,3145.25,3148.63,3149.70,160.08705623,269
2024-04-21 15:00:00,3148.63,3164.21,3148.62,3159.10,3159.19,253.72838476,304
2024-04-21 16:00:00,3159.11,3160.58,3120.00,3137.09,3134.33,1096.62147592,665
2024-04-21 17:00:00,3137.09,3150.00,3135.53,3149.49,3144.06,1091.45394983,445
2024-04-21 18:00:00,3149.50,3149.50,3137.40,3145.55,3146.50,311.57267445,280
2024-04-21 19:00:00,3145.55,3155.52,3140.46,3140.46,3150.29,71.54191640,314
2024-04-21 20:00:00,3139.53,3150.70,3132.12,3149.06,3143.95,103.69710810,392
2024-04-21 21:00:00,3149.07,3168.49,3144.61,3151.31,3154.62,94.96807393,320
2024-04-21 22:00:00,3147.46,3164.01,3141.04,3156.55,3154.21,218.92292995,302
2024-04-21 23:00:00,3155.80,3156.23,3144.47,3148.05,3147.24,162.86667108,247
2024-04-22 00:00:00,3148.31,3166.25,3147.51,3152.23,3156.17,160.89433620,353
2024-04-22 01:00:00,3152.23,3189.99,3139.72,3141.56,3154.44,399.65880473,631
2024-04-22 02:00:00,3140.47,3145.69,3130.05,3145.54,3138.58,93.71716318,332
2024-04-22 03:00:00,3145.54,3210.14,3145.54,3190.60,3180.12,689.31790882,707
2024-04-22 04:00:00,3190.01,3202.23,3187.45,3195.11,3194.98,180.16716620,388
2024-04-22 05:00:00,3194.88,3230.90,3194.88,3229.53,3210.97,373.86067927,638
2024-04-22 06:00:00,3229.53,3234.55,3221.91,3221.92,3228.67,203.30560325,380
2024-04-22 07:00:00,3221.92,3230.83,3205.66,3205.86,3210.15,399.62624666,441
2024-04-22 08:00:00,3205.86,3217.60,3198.68,3206.10,3212.02,479.58721957,505
2024-04-22 09:00:00,3206.10,3216.62,3201.35,3214.09,3212.35,118.67848021,325
2024-04-22 10:00:00,3214.09,3224.46,3210.15,3210.15,3216.59,174.07170170,322
2024-04-22 11:00:00,3210.15,3213.10,3191.59,3194.16,3205.15,455.22890468,377
2024-04-22 12:00:00,3194.16,3207.43,3189.31,3203.59,3200.83,1063.21705505,446
2024-04-22 13:00:00,3203.59,3211.40,3181.55,3195.15,3197.23,416.97770552,431
2024-04-22 14:00:00,3195.01,3207.09,3181.96,3184.57,3195.92,714.42762327,431
2024-04-22 15:00:00,3184.57,3185.25,3170.49,3184.40,3178.11,1104.72137685,508
2024-04-22 16:00:00,3184.40,3200.32,3173.92,3183.82,3186.34,670.95562301,476
2024-04-22 17:00:00,3183.82,3218.21,3183.82,3203.85,3198.94,970.45647545,530
2024-04-22 18:00:00,3201.11,3206.63,3192.93,3193.17,3202.81,774.21221145,415
2024-04-22 19:00:00,3193.17,3195.83,3178.83,3189.90,3185.96,457.65066903,404
2024-04-22 20:00:00,3189.91,3201.94,3185.78,3191.23,3194.05,536.49465899,530
2024-04-22 21:00:00,3191.06,3199.06,3185.09,3196.76,3191.69,370.78708218,294
2024-04-22 22:00:00,3196.77,3224.81,3196.77,3219.30,3207.20,690.71226422,507
2024-04-22 23:00:00,3219.99,3222.16,3197.25,3202.00,3206.96,360.15771660,287
